iter	RMSE
0	80.71738333
1	79.81505584
2	78.91356547
3	78.16986914
4	77.39785711
5	76.5834325
6	75.9113765
7	75.31894578
8	74.64922457
9	74.19992597
10	73.7908835
11	73.29137819
12	72.66812042
13	72.34756288
14	71.87352015
15	71.34900886
16	70.83810596
17	70.52494123
18	69.91388096
19	69.56305267
20	69.07892231
21	68.59631843
22	68.19949915
23	67.88722367
24	67.49685399
25	67.05816052
26	66.74006802
27	66.39379488
28	66.06768442
29	65.79540367
30	65.54542856
31	65.24536653
32	64.9511572
33	64.61983068
34	64.270078
35	63.96083385
36	63.73249206
37	63.45641187
38	63.19951747
39	63.01679593
40	62.82079321
41	62.60116802
42	62.26768889
43	61.97503899
44	61.73714376
45	61.4194159
46	61.17216432
47	60.95501658
48	60.78985839
49	60.54637517
50	60.4379597
51	60.20903006
52	60.17315811
53	59.96397188
54	59.76246705
55	59.60678189
56	59.43334692
57	59.25563523
58	59.2172183
59	59.10650437
60	58.86003688
61	58.60245535
62	58.38485877
63	58.14362188
64	58.10564086
65	57.98641922
66	57.85667888
67	57.74539639
68	57.61507036
69	57.57357084
70	57.44319744
71	57.33765599
72	57.13906382
73	57.01982458
74	56.88593654
75	56.74217155
76	56.55353182
77	56.4394129
78	56.18758077
79	56.07361603
80	56.0733735
81	56.04692725
82	55.88360358
83	55.62127967
84	55.55340883
85	55.34190831
86	55.33164979
87	55.15557507
88	55.02958894
89	54.84975783
90	54.62479025
91	54.48969979
92	54.42521662
93	54.41983379
94	54.27179813
95	54.16760333
96	54.01928272
97	53.93977245
98	53.84527953
99	53.69594104
100	53.60225781
101	53.59946443
102	53.52051647
103	53.34635783
104	53.24417112
105	53.23629688
106	53.17131682
107	53.09972713
108	53.00399315
109	52.86666195
110	52.77754879
111	52.68045035
112	52.55266623
113	52.52097715
114	52.51917287
115	52.37791425
116	52.2677245
117	52.18433845
118	52.02495667
119	51.98249229
120	51.89633075
121	51.89469362
122	51.82093572
123	51.72870447
124	51.6406755
125	51.5148644
126	51.44458707
127	51.37682583
128	51.26283817
129	51.21044647
130	51.16679738
131	51.14071181
132	51.11804641
133	50.991752
134	50.96993384
135	50.93471634
136	50.73353606
137	50.70281742
138	50.58008418
139	50.55096632
140	50.41269679
141	50.35175475
142	50.24658256
143	50.17796829
144	50.11111537
145	50.05616271
146	50.03128502
147	49.92017884
148	49.85684977
149	49.79449948
150	49.78103843
151	49.72946652
152	49.72582633
153	49.68424002
154	49.63017753
155	49.50198678
156	49.47622092
157	49.4371194
158	49.34595486
159	49.30226022
160	49.15326735
161	49.06754842
162	48.9048336
163	48.88152885
164	48.82484769
165	48.71882186
166	48.70772642
167	48.46314895
168	48.42073496
169	48.36930146
170	48.31406724
171	48.23135887
172	48.21728144
173	48.09997149
174	48.08165301
175	47.96380439
176	47.95594476
177	47.85994778
178	47.8359864
179	47.82740723
180	47.81443461
181	47.69445949
182	47.67466132
183	47.65151165
184	47.51934033
185	47.49364289
186	47.38367668
187	47.36227308
188	47.30638498
189	47.29756754
190	47.27886882
191	47.24899791
192	47.22877348
193	47.21279412
194	47.17230508
195	47.14210686
196	47.06254335
197	47.04009541
198	47.00340441
199	46.88685217
200	46.81670019
201	46.78049959
202	46.62358406
203	46.58290758
204	46.57272673
205	46.56704967
206	46.48858994
207	46.40075065
208	46.3385737
209	46.24083948
210	46.12005792
211	46.02980572
212	45.96570034
213	45.92658614
214	45.87636158
215	45.85807629
216	45.77627202
217	45.75932123
218	45.72013081
219	45.66322268
220	45.63949611
221	45.55921433
222	45.46765279
223	45.38441065
224	45.34825816
225	45.29815779
226	45.28811891
227	45.23573642
228	45.21054556
229	45.14954231
230	45.14302989
231	45.1209763
232	45.00682798
233	45.00186403
234	44.99852626
235	44.9260873
236	44.87482339
237	44.86346863
238	44.79410387
239	44.71101238
240	44.5980375
241	44.34621012
242	44.26824977
243	44.25410669
244	44.19388732
245	44.14548241
246	44.13825694
247	44.0421913
248	43.95608957
249	43.92850176
250	43.90906371
251	43.87746018
252	43.8281264
253	43.8078271
254	43.76896958
255	43.75625331
256	43.71417248
257	43.59355314
258	43.52525381
259	43.48438849
260	43.37182286
261	43.32318241
262	43.24866183
263	43.13053375
264	43.10153155
265	42.99459933
266	42.98852198
267	42.82117017
268	42.78406799
269	42.73266225
270	42.61009233
271	42.58987576
272	42.52995962
273	42.2660958
274	42.16100587
275	42.13394707
276	42.05164296
277	41.9704574
278	41.95104246
279	41.89844351
280	41.85482519
281	41.83052882
282	41.80371735
283	41.78953528
284	41.75946435
285	41.69874363
286	41.66299191
287	41.59724621
288	41.58927489
289	41.57094117
290	41.5072551
291	41.32026082
292	41.06756341
293	41.04507306
294	40.80044804
295	40.74163671
296	40.67906691
297	40.64729723
298	40.61088316
299	40.53071498
300	40.47328717
301	40.231275
302	40.21493886
303	40.13965008
304	40.06784706
305	39.98552207
306	39.96794176
307	39.83661477
308	39.82064842
309	39.64100911
310	39.52400005
311	39.47859701
312	39.24611125
313	39.13627238
314	39.00554144
315	38.90246432
316	38.88050748
317	38.75596168
318	38.53576484
319	38.50199708
320	38.46455415
321	38.41003979
322	38.36377544
323	38.26794872
324	38.22269549
325	38.20402228
326	38.18331
327	38.14865808
328	38.11123091
329	38.06911924
330	38.03889582
331	37.96920954
332	37.94985073
333	37.89810299
334	37.87123578
335	37.82557263
336	37.74535142
337	37.68052784
338	37.63658659
339	37.54527045
340	37.50136107
341	37.44717827
342	37.40297331
343	37.37781731
344	37.36123309
345	37.33723915
346	37.3202932
347	37.26862946
348	37.05364916
349	36.84696354
350	36.80981396
351	36.77182356
352	36.72103817
353	36.69703153
354	36.67366842
355	36.61147075
356	36.58083301
357	36.56020276
358	36.45973647
359	36.43101837
360	36.36885506
361	36.3052592
362	36.26320774
363	36.24186622
364	36.22140886
365	36.11180866
366	35.9969797
367	35.97272257
368	35.96004217
369	35.80677241
370	35.74126188
371	35.70677498
372	35.66623764
373	35.64042204
374	35.63111781
375	35.59563283
376	35.53315266
377	35.51779952
378	35.48221141
379	35.44645978
380	35.41530668
381	35.37856162
382	35.33077657
383	35.29665459
384	35.19099831
385	35.15750182
386	35.06035125
387	35.03037575
388	34.95535972
389	34.88171974
390	34.83281545
391	34.73929453
392	34.71449769
393	34.69937553
394	34.6888975
395	34.65611454
396	34.62762442
397	34.570868
398	34.52090388
399	34.47768096
400	34.42186645
401	34.32124039
402	34.2874346
403	34.2123416
404	34.1311927
405	34.07274872
406	34.04155284
407	33.91107632
408	33.90041081
409	33.78215587
410	33.75183676
411	33.74641725
412	33.74093395
413	33.72506839
414	33.69997658
415	33.66935195
416	33.6424036
417	33.63815303
418	33.63420691
419	33.62289583
420	33.55027697
421	33.53361093
422	33.49834018
423	33.48107675
424	33.44127766
425	33.40112086
426	33.2416641
427	33.22460459
428	33.2002047
429	33.16276534
430	33.1316458
431	33.09572291
432	33.07944496
433	33.06915165
434	33.05348185
435	33.03820202
436	33.01053712
437	32.96567407
438	32.93113867
439	32.92160632
440	32.85602586
441	32.82301106
442	32.78462021
443	32.75855827
444	32.73137998
445	32.68563421
446	32.6500366
447	32.63252104
448	32.60080333
449	32.57819309
450	32.55004427
451	32.52861622
452	32.31654444
453	32.28501942
454	32.25475215
455	32.22973617
456	32.14706017
457	32.14509839
458	32.13583221
459	32.03069949
460	31.81427469
461	31.76947755
462	31.75565951
463	31.73758102
464	31.67519828
465	31.65717415
466	31.63224696
467	31.60797068
468	31.57808585
469	31.53559136
470	31.5173607
471	31.50621345
472	31.5005856
473	31.45506743
474	31.40272703
475	31.22224655
476	31.19483669
477	31.1771807
478	31.09048958
479	30.89188852
480	30.87074099
481	30.86492454
482	30.85519101
483	30.82954484
484	30.81321771
485	30.77244004
486	30.7326399
487	30.71323087
488	30.6987124
489	30.67613066
490	30.65921925
491	30.61370271
492	30.50861951
493	30.42013792
494	30.4126705
495	30.37543538
496	30.29962776
497	30.24489703
498	30.20263761
499	30.14381989
500	30.13172779
501	30.10374681
502	30.04177379
503	30.02666269
504	30.01227282
505	29.97852901
506	29.94903201
507	29.94064676
508	29.91811165
509	29.89467719
510	29.88176024
511	29.86001742
512	29.84694981
513	29.82151964
514	29.8100539
515	29.79063024
516	29.77429852
517	29.75180335
518	29.74544685
519	29.740688
520	29.68460288
521	29.60163106
522	29.58497079
523	29.56658075
524	29.54444832
525	29.54116628
526	29.53025397
527	29.50455834
528	29.49101901
529	29.46829734
530	29.45939489
531	29.43827658
532	29.41758319
533	29.39156818
534	29.37876975
535	29.34686545
536	29.32671831
537	29.31128668
538	29.29114787
539	29.28348085
540	29.26095243
541	29.23276384
542	29.20683262
543	29.18729762
544	29.1624926
545	29.14602811
546	29.1334508
547	29.10621752
548	29.07894543
549	29.06298616
550	29.03512183
551	29.02255682
552	29.01967638
553	28.97468306
554	28.96707438
555	28.95541356
556	28.94313193
557	28.91871291
558	28.89539155
559	28.88017692
560	28.85831869
561	28.82696632
562	28.79051062
563	28.77624164
564	28.75248045
565	28.70061685
566	28.6248746
567	28.58921484
568	28.56690726
569	28.54562534
570	28.53719061
571	28.48830019
572	28.44555484
573	28.42927805
574	28.4111716
575	28.40307204
576	28.37831134
577	28.30861971
578	28.29612904
579	28.23907177
580	28.22077861
581	28.1781341
582	28.14992351
583	28.11610099
584	28.10638961
585	28.03336826
586	28.02001202
587	27.99558221
588	27.97595955
589	27.96405129
590	27.94948449
591	27.9391882
592	27.90784845
593	27.89661438
594	27.87412457
595	27.84728306
596	27.76433873
597	27.74240219
598	27.72738793
599	27.70860105
600	27.68957918
601	27.66878224
602	27.65922259
603	27.63279839
604	27.5965106
605	27.58114982
606	27.56412951
607	27.55384557
608	27.54357367
609	27.53257199
610	27.5139255
611	27.49982772
612	27.47381312
613	27.46024195
614	27.430527
615	27.42936194
616	27.37278401
617	27.36326839
618	27.35250298
619	27.32264958
620	27.30213353
621	27.29006705
622	27.26566886
623	27.25116866
624	27.12350354
625	27.10827486
626	27.06156286
627	27.05087567
628	27.00627944
629	26.82168672
630	26.804543
631	26.78558239
632	26.7760393
633	26.7376531
634	26.72702607
635	26.70434131
636	26.68221782
637	26.66203132
638	26.62657083
639	26.61415503
640	26.58724784
641	26.48504526
642	26.45578501
643	26.43612425
644	26.42126772
645	26.41049376
646	26.3974489
647	26.36077757
648	26.35435015
649	26.32891688
650	26.31208768
651	26.3040198
652	26.26384883
653	26.25920086
654	26.23827346
655	26.1817793
656	26.18036396
657	26.13892346
658	26.12505962
659	26.08107538
660	26.0695385
661	26.0553095
662	26.04123659
663	26.03927123
664	26.03016815
665	26.02404557
666	25.99158679
667	25.97757809
668	25.96726003
669	25.93387599
670	25.92727241
671	25.91438899
672	25.90383374
673	25.8955354
674	25.86772006
675	25.85316964
676	25.85156902
677	25.83932693
678	25.81764285
679	25.74943694
