iter	Passed	Remaining
403	8233	22336
404	8254	22316
405	8273	22292
406	8291	22267
407	8312	22249
408	8331	22223
409	8348	22195
410	8366	22169
411	8387	22148
412	8420	22162
413	8442	22144
414	8467	22137
415	8488	22118
416	8510	22101
417	8528	22077
418	8550	22060
419	8569	22035
420	8591	22020
421	8615	22008
422	8638	21995
423	8658	21971
424	8677	21948
425	8696	21925
426	8720	21914
427	8743	21899
428	8764	21879
429	8784	21859
430	8804	21837
431	8823	21812
432	8843	21791
433	8865	21775
434	8886	21755
435	8905	21732
436	8923	21705
437	8941	21680
438	8960	21657
439	8981	21636
440	9000	21612
441	9019	21589
442	9037	21563
443	9056	21540
444	9077	21519
445	9126	21567
446	9170	21602
447	9195	21593
448	9218	21578
449	9237	21555
450	9256	21531
451	9275	21507
452	9297	21488
453	9316	21464
454	9335	21439
455	9352	21412
456	9370	21386
457	9388	21360
458	9406	21334
459	9427	21314
460	9447	21292
461	9465	21267
462	9484	21243
463	9503	21219
464	9522	21195
465	9540	21168
466	9559	21146
467	9579	21123
468	9596	21096
469	9615	21072
470	9633	21046
471	9651	21020
472	9669	20994
473	9688	20971
474	9709	20951
475	9728	20928
476	9747	20904
477	9764	20877
478	9782	20852
479	9800	20825
480	9819	20803
481	9840	20784
482	9859	20759
483	9876	20732
484	9894	20707
485	9912	20681
486	9931	20657
487	9953	20641
488	9972	20617
489	9990	20592
490	10009	20569
491	10028	20545
492	10047	20522
493	10067	20501
494	10087	20481
495	10106	20457
496	10125	20433
497	10143	20408
498	10162	20386
499	10182	20365
500	10203	20345
501	10225	20328
502	10245	20306
503	10263	20281
504	10281	20258
505	10301	20236
506	10320	20213
507	10341	20193
508	10360	20171
509	10380	20149
510	10400	20130
511	10418	20105
512	10436	20079
513	10456	20057
514	10475	20036
515	10496	20017
516	10516	19995
517	10535	19972
518	10553	19947
519	10573	19927
520	10596	19911
521	10623	19902
522	10644	19884
523	10669	19872
524	10693	19860
525	10716	19844
526	10740	19830
527	10758	19805
528	10776	19781
529	10795	19757
530	10815	19736
531	10841	19725
532	10862	19707
533	10886	19693
534	10910	19679
535	10946	19687
536	10970	19674
537	10991	19653
538	11008	19628
539	11029	19607
540	11047	19583
541	11065	19558
542	11083	19533
543	11105	19517
544	11126	19496
545	11145	19473
546	11165	19453
547	11186	19434
548	11206	19412
549	11230	19397
550	11249	19374
551	11268	19351
552	11286	19328
553	11309	19311
554	11330	19292
555	11349	19269
556	11368	19246
557	11386	19223
558	11405	19199
559	11425	19178
560	11444	19155
561	11463	19133
562	11484	19113
563	11502	19090
564	11521	19066
565	11541	19045
566	11561	19025
567	11580	19002
568	11599	18979
569	11619	18958
570	11639	18936
571	11659	18915
572	11678	18893
573	11697	18870
574	11716	18848
575	11736	18827
576	11756	18806
577	11775	18783
578	11793	18759
579	11813	18739
580	11832	18716
581	11854	18698
582	11875	18679
583	11895	18658
584	11913	18634
585	11931	18610
586	11950	18587
587	11970	18566
588	11989	18543
589	12008	18521
590	12027	18499
591	12060	18497
592	12081	18479
593	12104	18462
594	12124	18441
595	12145	18421
596	12163	18397
597	12182	18374
598	12201	18353
599	12226	18339
600	12245	18317
601	12266	18297
602	12286	18277
603	12305	18254
604	12324	18231
605	12343	18209
606	12360	18185
607	12379	18161
608	12400	18142
609	12419	18120
610	12439	18098
611	12462	18083
612	12485	18066
613	12503	18042
614	12535	18038
615	12554	18016
616	12573	17993
617	12593	17973
618	12612	17950
619	12637	17936
620	12660	17919
621	12684	17904
622	12707	17888
623	12729	17870
624	12749	17849
625	12771	17830
626	12790	17808
627	12809	17787
628	12830	17766
629	12853	17749
630	12871	17726
631	12890	17703
632	12908	17680
633	12927	17658
634	12946	17636
635	12965	17614
636	12985	17592
637	13003	17568
638	13022	17546
639	13045	17529
640	13066	17510
641	13090	17494
642	13109	17473
643	13128	17450
644	13147	17427
645	13166	17405
646	13190	17390
647	13212	17372
648	13234	17353
649	13254	17332
650	13273	17310
651	13293	17290
652	13313	17268
653	13332	17247
654	13357	17232
655	13375	17208
656	13394	17186
657	13412	17163
658	13433	17143
659	13454	17124
660	13474	17102
661	13492	17080
662	13512	17058
663	13530	17035
664	13549	17013
665	13568	16991
666	13589	16970
667	13608	16949
668	13629	16929
669	13647	16907
670	13666	16884
671	13685	16862
672	13705	16841
673	13725	16820
674	13744	16798
675	13763	16777
676	13782	16754
677	13802	16733
678	13821	16711
679	13840	16690
680	13859	16667
681	13877	16644
682	13895	16621
683	13914	16599
684	13934	16579
685	13956	16560
686	13974	16537
687	13993	16515
688	14013	16495
689	14033	16474
690	14054	16454
691	14074	16433
692	14093	16411
693	14114	16392
694	14141	16379
695	14161	16359
696	14184	16341
697	14203	16319
698	14223	16299
699	14245	16281
700	14265	16259
701	14285	16239
702	14304	16217
703	14323	16194
704	14342	16173
705	14361	16151
706	14381	16131
707	14401	16109
708	14419	16087
709	14438	16065
710	14459	16046
711	14479	16025
712	14500	16005
713	14518	15982
714	14536	15959
715	14554	15936
716	14573	15914
717	14592	15893
718	14613	15873
719	14632	15851
720	14651	15829
721	14669	15807
722	14689	15786
723	14705	15761
724	14724	15739
725	14744	15718
726	14761	15695
727	14780	15673
728	14798	15650
729	14816	15628
730	14836	15608
731	14855	15586
732	14874	15564
733	14892	15542
734	14910	15519
735	14928	15496
736	14947	15475
737	14968	15455
738	14991	15437
739	15010	15416
740	15029	15394
741	15049	15373
742	15067	15351
743	15087	15331
744	15107	15309
745	15126	15288
746	15143	15265
747	15163	15244
748	15183	15224
749	15197	15197
750	15215	15175
751	15236	15155
752	15260	15138
753	15279	15117
754	15298	15095
755	15316	15073
756	15335	15051
757	15355	15031
758	15376	15011
759	15395	14990
760	15414	14968
761	15433	14947
762	15453	14926
763	15474	14907
764	15494	14886
765	15514	14866
766	15533	14844
767	15551	14822
768	15570	14801
769	15592	14782
770	15614	14763
771	15635	14744
772	15654	14722
773	15672	14700
774	15691	14679
775	15710	14657
776	15728	14635
777	15743	14610
778	15762	14588
779	15781	14567
780	15801	14547
781	15820	14525
782	15838	14503
783	15856	14480
784	15873	14458
785	15893	14437
786	15914	14418
787	15934	14397
788	15952	14375
789	15971	14354
790	15989	14331
791	16006	14309
792	16026	14288
793	16044	14266
794	16064	14245
795	16082	14223
796	16100	14201
797	16118	14179
798	16136	14157
799	16155	14136
800	16174	14115
801	16194	14094
802	16213	14073
803	16232	14051
804	16252	14031
805	16271	14010
806	16280	13981
807	16301	13960
808	16320	13940
809	16340	13919
810	16360	13899
811	16379	13878
812	16403	13861
813	16425	13842
814	16446	13823
815	16478	13812
816	16497	13791
817	16517	13771
818	16536	13749
819	16557	13730
820	16580	13712
821	16600	13692
822	16619	13671
823	16641	13652
824	16662	13633
825	16684	13614
826	16714	13601
827	16734	13581
828	16755	13562
829	16775	13542
830	16796	13521
831	16816	13502
832	16837	13482
833	16857	13461
834	16876	13440
835	16894	13418
836	16911	13396
837	16931	13375
838	16952	13356
839	16972	13335
840	16991	13314
841	17010	13293
842	17028	13271
843	17049	13251
844	17069	13231
845	17089	13210
846	17107	13189
847	17126	13167
848	17146	13147
849	17170	13130
850	17201	13118
851	17223	13099
852	17242	13078
853	17264	13059
854	17283	13038
855	17303	13017
856	17323	12997
857	17339	12974
858	17359	12953
859	17378	12932
860	17396	12910
861	17414	12889
862	17434	12869
863	17450	12845
864	17461	12818
865	17479	12797
866	17498	12775
867	17517	12754
868	17536	12733
869	17556	12713
870	17577	12693
871	17596	12672
872	17615	12651
873	17633	12630
874	17653	12609
875	17675	12590
876	17694	12569
877	17714	12549
878	17733	12528
879	17753	12507
880	17772	12487
881	17791	12466
882	17812	12446
883	17831	12425
884	17850	12404
885	17869	12383
886	17889	12363
887	17911	12344
888	17934	12326
889	17966	12313
890	17990	12296
891	18017	12281
892	18043	12265
893	18072	12250
894	18096	12232
895	18118	12213
896	18141	12195
897	18165	12177
898	18188	12159
899	18216	12144
900	18240	12126
901	18266	12109
902	18286	12089
903	18304	12068
904	18325	12048
905	18344	12027
906	18364	12006
907	18383	11985
908	18401	11964
909	18420	11943
910	18439	11921
911	18458	11900
912	18477	11879
913	18496	11858
914	18517	11839
915	18536	11817
916	18554	11796
917	18574	11776
918	18595	11756
919	18613	11734
920	18632	11713
921	18649	11691
922	18667	11670
923	18686	11648
924	18706	11628
925	18726	11607
926	18746	11587
927	18765	11566
928	18785	11546
929	18811	11529
930	18830	11508
931	18854	11490
932	18874	11470
933	18896	11451
934	18917	11431
935	18936	11410
936	18961	11393
937	18986	11375
938	19014	11359
939	19035	11340
940	19054	11319
941	19072	11297
942	19091	11276
943	19112	11257
944	19134	11237
945	19156	11218
946	19178	11199
947	19205	11182
948	19227	11163
949	19248	11144
950	19267	11123
951	19286	11102
952	19305	11081
953	19324	11059
954	19344	11039
955	19365	11019
956	19384	10998
957	19406	10979
958	19424	10957
959	19443	10936
960	19463	10916
961	19483	10895
962	19502	10875
963	19521	10854
964	19539	10832
965	19557	10811
966	19577	10790
967	19595	10769
968	19615	10748
969	19633	10727
970	19653	10707
971	19672	10686
972	19692	10665
973	19710	10644
974	19728	10623
975	19747	10602
976	19766	10581
977	19786	10560
978	19806	10540
979	19824	10518
980	19842	10497
981	19860	10476
982	19879	10455
983	19896	10433
984	19914	10412
985	19932	10390
986	19951	10370
987	19970	10349
988	19990	10328
989	20010	10308
990	20030	10288
991	20049	10267
992	20068	10246
993	20087	10225
994	20106	10204
995	20125	10183
996	20143	10162
997	20164	10142
998	20182	10121
999	20201	10100
1000	20219	10079
1001	20240	10059
1002	20260	10039
1003	20279	10018
1004	20299	9998
1005	20317	9977
1006	20338	9957
1007	20367	9941
1008	20394	9924
1009	20432	9913
1010	20472	9902
1011	20506	9888
1012	20536	9872
1013	20563	9856
1014	20598	9842
1015	20618	9822
1016	20637	9801
1017	20658	9781
1018	20679	9761
1019	20704	9743
1020	20724	9722
1021	20749	9704
1022	20772	9685
1023	20793	9665
1024	20812	9644
1025	20835	9625
1026	20858	9606
1027	20896	9594
1028	20917	9574
1029	20937	9554
1030	20958	9534
1031	20978	9513
1032	20997	9492
1033	21015	9471
1034	21033	9449
1035	21052	9428
1036	21072	9408
1037	21093	9388
1038	21112	9367
1039	21130	9346
1040	21149	9325
1041	21168	9304
1042	21187	9283
1043	21216	9266
1044	21254	9254
1045	21290	9240
1046	21326	9227
1047	21362	9213
1048	21394	9198
1049	21415	9178
1050	21439	9159
1051	21461	9139
1052	21480	9118
1053	21503	9099
1054	21527	9080
1055	21555	9063
1056	21577	9043
1057	21600	9024
1058	21623	9004
1059	21644	8984
1060	21663	8963
1061	21682	8942
1062	21701	8921
1063	21724	8902
1064	21745	8881
1065	21766	8861
1066	21788	8841
1067	21807	8820
1068	21827	8800
1069	21847	8779
1070	21867	8759
1071	21885	8738
1072	21905	8717
1073	21924	8696
1074	21943	8675
1075	21962	8654
1076	21982	8633
1077	22001	8612
1078	22019	8591
1079	22039	8570
1080	22058	8549
1081	22080	8530
1082	22101	8509
1083	22121	8489
1084	22142	8469
1085	22162	8448
1086	22183	8428
1087	22201	8407
1088	22220	8386
1089	22239	8365
1090	22258	8344
1091	22277	8323
1092	22298	8303
1093	22316	8282
1094	22334	8260
1095	22352	8239
1096	22371	8218
1097	22392	8198
1098	22410	8177
1099	22428	8155
1100	22446	8134
1101	22464	8113
1102	22482	8092
1103	22503	8071
1104	22524	8051
1105	22543	8030
1106	22561	8009
1107	22579	7988
1108	22597	7967
1109	22618	7946
1110	22640	7927
1111	22661	7907
1112	22679	7885
1113	22698	7864
1114	22717	7844
1115	22739	7824
1116	22760	7804
1117	22792	7787
1118	22832	7774
1119	22874	7761
1120	22914	7747
1121	22949	7731
1122	22985	7716
1123	23011	7697
1124	23031	7677
1125	23053	7657
1126	23073	7636
1127	23091	7615
1128	23110	7594
1129	23130	7573
1130	23148	7552
1131	23171	7532
1132	23192	7512
1133	23213	7492
1134	23239	7473
1135	23260	7453
1136	23280	7432
1137	23301	7412
1138	23320	7391
1139	23341	7370
1140	23361	7350
1141	23380	7329
1142	23402	7309
1143	23421	7288
1144	23443	7268
1145	23464	7248
1146	23482	7226
1147	23504	7207
1148	23524	7186
1149	23543	7165
1150	23562	7144
1151	23582	7123
1152	23601	7102
1153	23621	7082
1154	23635	7059
1155	23654	7039
1156	23673	7018
1157	23691	6997
1158	23711	6976
1159	23733	6956
1160	23751	6935
1161	23771	6914
1162	23790	6893
1163	23808	6872
1164	23828	6851
1165	23847	6831
1166	23867	6810
1167	23886	6789
1168	23906	6769
1169	23926	6748
1170	23947	6728
1171	23966	6707
1172	23985	6686
1173	24004	6665
1174	24023	6644
1175	24044	6624
1176	24064	6603
1177	24083	6583
1178	24102	6562
1179	24124	6542
1180	24144	6521
1181	24166	6501
1182	24189	6481
1183	24210	6461
1184	24229	6440
1185	24248	6419
1186	24267	6399
1187	24286	6378
1188	24305	6357
1189	24324	6336
1190	24344	6315
1191	24362	6295
1192	24382	6274
1193	24401	6253
1194	24420	6232
1195	24439	6212
1196	24458	6191
1197	24475	6170
1198	24495	6149
1199	24516	6129
1200	24537	6108
1201	24557	6088
1202	24577	6067
1203	24597	6047
1204	24619	6027
1205	24638	6006
1206	24657	5985
1207	24676	5964
1208	24694	5943
1209	24714	5923
1210	24734	5902
1211	24756	5882
1212	24779	5863
1213	24797	5841
1214	24829	5824
1215	24848	5803
1216	24867	5782
1217	24888	5762
1218	24910	5742
1219	24931	5722
1220	24950	5701
1221	24969	5680
1222	24990	5660
1223	25011	5639
1224	25031	5619
1225	25052	5599
1226	25073	5578
1227	25091	5557
1228	25110	5537
1229	25130	5516
1230	25151	5496
1231	25171	5475
1232	25190	5454
1233	25208	5433
1234	25234	5414
1235	25256	5394
1236	25279	5374
1237	25302	5354
1238	25325	5334
1239	25351	5315
1240	25376	5296
1241	25399	5276
1242	25421	5256
1243	25441	5235
1244	25460	5214
1245	25477	5193
1246	25496	5173
1247	25515	5152
1248	25536	5131
1249	25555	5111
1250	25574	5090
1251	25594	5069
1252	25613	5049
1253	25635	5028
1254	25667	5010
1255	25696	4992
1256	25724	4972
1257	25760	4955
1258	25783	4935
1259	25807	4915
1260	25838	4897
1261	25866	4878
1262	25894	4859
1263	25914	4838
1264	25936	4818
1265	25956	4797
1266	25975	4776
1267	25994	4756
1268	26013	4735
1269	26035	4715
1270	26054	4694
1271	26074	4673
1272	26094	4653
1273	26112	4632
1274	26131	4611
1275	26151	4590
1276	26172	4570
1277	26197	4550
1278	26221	4530
1279	26250	4511
1280	26272	4491
1281	26296	4471
1282	26318	4451
1283	26336	4430
1284	26355	4409
1285	26373	4388
1286	26391	4367
1287	26411	4347
1288	26430	4326
1289	26451	4306
1290	26470	4285
1291	26489	4264
1292	26509	4243
1293	26535	4224
1294	26561	4204
1295	26584	4184
1296	26608	4164
1297	26630	4144
1298	26650	4123
1299	26668	4102
1300	26685	4081
1301	26703	4060
1302	26722	4040
1303	26741	4019
